id,mp2015_id
WNAI8,s_ecol_8
WNAI11,s_ecol_11
WNAI12,s_ecol_12
WNAI13,s_ecol_13
WNAI14,s_ecol_14
WNAI15,s_ecol_15
WNAI16,s_ecol_16
WNAI17,s_ecol_17
WNAI18,s_ecol_18
WNAI19,s_ecol_19
WNAI20,s_ecol_20
WNAI21,s_ecol_21
WNAI22,s_ecol_22
WNAI23,s_ecol_23
WNAI24,s_ecol_24
WNAI25,s_ecol_25
WNAI26,s_ecol_26
WNAI27,s_ecol_27
WNAI28,s_ecol_28
WNAI29,s_ecol_29
WNAI30,s_ecol_30
WNAI31,s_ecol_31
WNAI32,s_ecol_32
WNAI33,s_ecol_33
WNAI34,s_ecol_34
WNAI35,s_ecol_35
WNAI36,s_ecol_36
WNAI37,s_ecol_37
WNAI38,s_ecol_38
WNAI39,s_ecol_39
WNAI40,s_ecol_40
WNAI41,s_ecol_41
WNAI42,s_ecol_42
WNAI43,s_ecol_43
WNAI44,s_ecol_44
WNAI45,s_ecol_45
WNAI46,s_ecol_46
WNAI47,s_ecol_47
WNAI48,s_ecol_48
WNAI49,s_ecol_49
WNAI50,s_ecol_50
WNAI51,s_ecol_51
WNAI52,s_ecol_52
WNAI53,s_ecol_53
WNAI54,s_ecol_54
WNAI55,s_ecol_55
WNAI56,s_ecol_56
WNAI57,s_ecol_57
WNAI58,s_ecol_58
WNAI59,s_ecol_59
WNAI60,s_ecol_60
WNAI61,s_ecol_61
WNAI62,s_ecol_62
WNAI63,s_ecol_63
WNAI64,s_ecol_64
WNAI65,s_ecol_65
WNAI66,s_ecol_66
WNAI67,s_ecol_67
WNAI68,s_ecol_68
WNAI69,s_ecol_69
WNAI70,s_ecol_70
WNAI71,s_ecol_71
WNAI72,s_ecol_72
WNAI73,s_ecol_73
WNAI74,s_ecol_74
WNAI75,s_ecol_75
WNAI76,s_ecol_76
WNAI77,s_ecol_77
WNAI78,s_ecol_78
WNAI79,s_ecol_79
WNAI80,s_ecol_80
WNAI81,s_ecol_81
WNAI82,s_ecol_82
WNAI83,s_ecol_83
WNAI84,s_ecol_84
WNAI85,s_ecol_85
WNAI86,s_ecol_86
WNAI87,s_ecol_87
WNAI88,s_ecol_88
WNAI89,s_ecol_89
WNAI90,s_ecol_90
WNAI91,s_ecol_91
WNAI92,s_ecol_92
WNAI93,s_ecol_93
WNAI94,s_ecol_94
WNAI95,s_ecol_95
WNAI96,s_ecol_96
WNAI97,s_ecol_97
WNAI98,s_ecol_98
WNAI99,s_ecol_99
WNAI100,s_ecol_100
WNAI101,s_ecol_101
WNAI102,s_ecol_102
WNAI103,s_ecol_103
WNAI104,s_ecol_104
WNAI105,s_ecol_105
WNAI106,s_ecol_106
WNAI107,s_ecol_107
WNAI108,s_ecol_108
WNAI109,s_ecol_109
WNAI110,s_ecol_110
WNAI111,s_ecol_111
WNAI112,s_ecol_112
WNAI113,s_ecol_113
WNAI114,s_ecol_114
WNAI115,s_ecol_115
WNAI116,s_ecol_116
WNAI117,s_ecol_117
WNAI118,s_ecol_118
WNAI119,s_ecol_119
WNAI120,s_ecol_120
WNAI121,s_ecol_121
WNAI122,s_ecol_122
WNAI123,s_ecol_123
WNAI124,s_ecol_124
WNAI125,s_ecol_125
WNAI126,s_ecol_126
WNAI127,s_ecol_127
WNAI128,s_ecol_128
WNAI129,s_ecol_129
WNAI130,s_ecol_130
WNAI131,s_ecol_131
WNAI132,s_ecol_132
WNAI133,s_ecol_133
WNAI134,s_ecol_134
WNAI135,s_ecol_135
WNAI136,r_food_136
WNAI137,s_ecol_137
WNAI138,s_ecol_138
WNAI139,s_ecol_139
WNAI140,s_ecol_140
WNAI141,s_tech_141
WNAI142,r_tech_142
WNAI143,r_tech_143
